"","day.of.year","airport.code","avg.delay","lat","lon","city","state","airport"
"1","001","ABE",9.5,"40.6514","-75.4342","Allentown","Pennsylvania","Lehigh Valley International Airport"
"2","001","ABQ",9,"35.0494","-106.625","Albuquerque","New Mexico","Albuquerque International Airport"
"3","001","ALB",60.3333333333333,"42.7426","-73.809","Latham","New York","Albany International Airport"
"4","001","ATL",32.4090909090909,"33.6558","-84.4333","Atlanta","Georgia","Hartsfield-Jackson Atlanta International Airport"
"5","001","AUS",16,"30.2027","-97.6653","Austin","Texas","Austin-Bergstrom International Airport"
"6","001","BDL",24.2,"41.9271","-72.6816","Windsor Locks","Connecticut","Bradley International Airport"
"7","001","BHM",9,"33.5604","-86.7492","Birmingham","Alabama","Birmingham International Airport"
"8","001","BMI",6,"40.4841","-88.9134","Bloomington","Illinois","Bloomington Normal Airport"
"9","001","BNA",24.375,"36.1342","-86.6682","Nashville","Tennessee","Nashville International Airport"
"10","001","BOS",35.1875,"42.3717","-71.0281","Boston","Massachusetts","Gen E L Logan International Airport"
"11","001","BTV",30.6666666666667,"44.4688","-73.1552","South Burlington","Vermont","Burlington International Airport"
"12","001","BUF",29.75,"42.9309","-78.738","Buffalo","New York","Greater Buffalo International Airport"
"13","001","BWI",22.8,"39.1841","-76.6745","Baltimore","Maryland","Baltimore-Washington International Thurgood Mars"
"14","001","CAE",25,"33.9468","-81.1241","West Columbia","South Carolina","Columbia Metropolitan Airport"
"15","001","CID",33.75,"41.8893","-91.7008","Cedar Rapids","Iowa","Cedar Rapids Municipal Airport"
"16","001","CLE",16.7272727272727,"41.4115","-81.8339","Cleveland","Ohio","Hopkins International Airport"
"17","001","CLT",13.5,"35.2226","-80.946","Charlotte","North Carolina","Douglas International Airport"
"18","001","CMH",24.2,"39.9974","-82.8877","Columbus","Ohio","Port Columbus International Airport"
"19","001","CMI",79.3333333333333,"40.0367","-88.2638","Savoy","Illinois","University of Illinois-Willard Airport"
"20","001","CVG",39.0263157894737,"39.0571","-84.6625","Hebron","Ohio","Greater Cincinnati International Airport"
"21","001","DAL",2,"32.8439","-96.8496","Dallas","Texas","Dallas Love Field Airport"
"22","001","DAY",26.4,"39.8968","-84.2207","Dayton","Ohio","James M Cox Dayton International Airport"
"23","001","DBQ",34,"42.4047","-90.7037","Dubuque","Iowa","Dubuque Regional Airport"
"24","001","DCA",43.3333333333333,"38.849","-77.0438","Arlington","Virginia","Washington National Airport"
"25","001","DEN",21.0909090909091,"39.8396","-104.672","Denver","Colorado","Denver International Airport"
"26","001","DFW",23.4473684210526,"32.9222","-97.0409","Dallas","Texas","Fort Worth International Airport"
"27","001","DSM",30.25,"41.5328","-93.6481","Des Moines","Iowa","Des Moines International Airport"
